application_id,application_date,age,reported_income,credit_score,existing_debt,loan_amount_requested,employment_years,defaulted
111499,2024-11-26,27.0,5903.682649737976,480.2629831205645,3477.7668438309515,8324.471965669263,1.743637738487322,0
106475,09/11/2022,40.0,,584.6032169844841,816.7129902012676,26612.695034222816,0.8007113459376546,0
113167,2022-07-15,39.0,87485.83907100504,677.003471701997,3362.6813478823747,9428.270452613322,2.882713895484052,0
100862,12/05/2022,24.0,76756.83297472323,826.7348033082899,6303.427553776556,8072.884772353706,3.718236355390669,0
105970,2024-03-28,64.0,5421.712267018959,571.3392480687949,3462.706952698786,6568.882843351561,2.8631274478406925,0
106706,26/01/2022,33.0,59166.42325377595,612.9931785604417,10522.148937810138,12121.049302446123,9.832604579046148,0
103017,08-25-2022,55.0,50526.345110683695,708.7814288405837,9370.741016092563,12319.117283846968,15.416709824985322,0
103781,07/09/2022,51.0,29342.890169960192,727.675032940767,5652.989208937123,6436.562708948435,1.9536230195629938,0
103898,29/11/2022,39.0,27786.825124944946,541.6132392463066,9002.90604627237,13988.158113800178,2.16426300435891,1
102250,2023-07-10,61.0,2173.046936660588,747.8303588221519,1952.9982776529384,12778.63469603854,14.627556064807086,0
100542,08-02-2022,33.0,83813.96588141235,512.5262541848177,6339.024106650548,6884.274374497312,7.980477952837766,1
104351,13/09/2023,26.0,3716.7765543129863,559.1502470010201,1433.598151588335,7218.846002861543,6.829750856158015,0
112807,2023-07-29,45.0,6848.565315889963,663.2126432434364,1867.2682847785138,11393.764174713642,20.82894838059341,0
106631,12/03/2022,24.0,38816.19602825602,833.5197862320663,3881.8739693567936,9534.333525273487,10.745106986364624,0
106705,2022-02-12,50.0,17169.957375684193,690.1557668563422,1489.2339468145592,4895.096088730796,4.72040344278892,0
106978,2023-11-08,40.0,2083.1532284638547,801.6449920340068,4004.251273061351,8477.254663952603,5.708600255036456,0
107399,17/04/2023,25.0,29916.09106339467,,6700.095953415256,6128.48416007127,0.8261372057519178,0
111119,13/06/2022,48.0,52592.68553389873,706.532350578882,31209.48970250588,11713.35857822445,3.153976671425008,0
112665,07-13-2023,41.0,2752.5897159096767,591.759694714963,15544.245414365983,7228.623200307234,2.567244830390714,0
